epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,17659,0.66152,0.58798,0.92809,0.89347,0.64228,0.72804,0.5806,0.60885,0.59213,0.89427,0.000279063,0.000279063,0.000279063
37,18291,0.65349,0.56949,0.93031,0.85667,0.64894,0.72259,0.5858,0.60238,0.57608,0.90477,0.000261065,0.000261065,0.000261065
38,18815.4,0.65648,0.56561,0.92863,0.86812,0.64235,0.71935,0.58204,0.61697,0.57905,0.90293,0.000243067,0.000243067,0.000243067
39,19223.3,0.63752,0.5611,0.92183,0.87629,0.64269,0.72591,0.5827,0.61051,0.58398,0.90993,0.000225068,0.000225068,0.000225068
40,19615.1,0.63689,0.54967,0.92208,0.90735,0.63514,0.72908,0.58058,0.61357,0.57382,0.9088,0.00020707,0.00020707,0.00020707
41,20029.6,0.56515,0.49245,0.8709,0.89605,0.61944,0.71717,0.57292,0.62462,0.59589,0.91223,0.000189072,0.000189072,0.000189072
42,20405,0.5486,0.46178,0.86073,0.87896,0.6441,0.72458,0.58248,0.61492,0.59357,0.90723,0.000171074,0.000171074,0.000171074
43,20818.7,0.53727,0.4492,0.86044,0.89148,0.63564,0.72664,0.58208,0.6115,0.57275,0.90552,0.000153076,0.000153076,0.000153076
44,21197.3,0.53326,0.43731,0.85721,0.92334,0.62478,0.726,0.58957,0.59843,0.57252,0.90313,0.000135077,0.000135077,0.000135077
45,21605.8,0.53597,0.43332,0.85946,0.87912,0.64475,0.7262,0.58633,0.59674,0.57194,0.89999,0.000117079,0.000117079,0.000117079
46,22008,0.52395,0.42152,0.8561,0.92049,0.62751,0.7287,0.59002,0.59304,0.5631,0.90605,9.9081e-05,9.9081e-05,9.9081e-05
47,22400.2,0.5124,0.41472,0.8552,0.90631,0.63578,0.72967,0.59146,0.57977,0.5555,0.89985,8.10828e-05,8.10828e-05,8.10828e-05
48,22814.7,0.5138,0.41362,0.85504,0.9184,0.63278,0.73329,0.59398,0.57694,0.55406,0.90132,6.30846e-05,6.30846e-05,6.30846e-05
49,23191.9,0.49083,0.4067,0.84437,0.92876,0.63301,0.7324,0.59879,0.57753,0.55429,0.90013,4.50864e-05,4.50864e-05,4.50864e-05
50,23603.5,0.49447,0.39938,0.84197,0.93481,0.6337,0.73253,0.60028,0.57607,0.54861,0.89848,2.70882e-05,2.70882e-05,2.70882e-05
